# ---- run log preserved by tools/keeplog.sh ----
# run:      char13
# source:   /tmp/claude-0/-home-user-Demo/94022f73-a328-5e86-b2ec-031aa9c720ce/scratchpad/char13.log
# copied:   2026-08-03T11:43:50Z
# tree at copy time (NOT the run's build): 5e9e1d4 — working tree DIRTY
#   For the commit this run actually rendered, read shots/char13/report.json or char13.json.
# NOTE: this is a COPY. The scratchpad original is ephemeral and may already be gone.
# ------------------------------------------------
· waiting for capture lock (10s, held by pid 29186)
· waiting for capture lock (747s, held by pid 4955)
· waiting for capture lock (757s, held by pid 4955)
· waiting for capture lock (768s, held by pid 4955)
· waiting for capture lock (778s, held by pid 4955)
· waiting for capture lock (789s, held by pid 4955)
· waiting for capture lock (800s, held by pid 4955)
· waiting for capture lock (811s, held by pid 4955)
· waiting for capture lock (821s, held by pid 4955)
· waiting for capture lock (831s, held by pid 4955)
· waiting for capture lock (842s, held by pid 4955)
· waiting for capture lock (853s, held by pid 4955)
· waiting for capture lock (864s, held by pid 4955)
· waiting for capture lock (875s, held by pid 4955)
· waiting for capture lock (885s, held by pid 4955)
· waiting for capture lock (896s, held by pid 4955)
· waiting for capture lock (906s, held by pid 4955)
· waiting for capture lock (916s, held by pid 4955)
· waiting for capture lock (927s, held by pid 4955)
· waiting for capture lock (937s, held by pid 4955)
· waiting for capture lock (948s, held by pid 4955)
· waiting for capture lock (958s, held by pid 4955)
· waiting for capture lock (969s, held by pid 4955)
· waiting for capture lock (979s, held by pid 4955)
· waiting for capture lock (989s, held by pid 4955)
· waiting for capture lock (1000s, held by pid 4955)
· waiting for capture lock (1010s, held by pid 4955)
· waiting for capture lock (1020s, held by pid 4955)
· waiting for capture lock (1031s, held by pid 4955)
· waiting for capture lock (1042s, held by pid 4955)
· waiting for capture lock (1052s, held by pid 4955)
· waiting for capture lock (1062s, held by pid 4955)
· waiting for capture lock (1072s, held by pid 4955)
· waiting for capture lock (1082s, held by pid 4955)
· waiting for capture lock (1093s, held by pid 4955)
· waiting for capture lock (1103s, held by pid 4955)
· waiting for capture lock (1114s, held by pid 4955)
· waiting for capture lock (1124s, held by pid 4955)
· waiting for capture lock (1135s, held by pid 4955)
· waiting for capture lock (1146s, held by pid 4955)
· waiting for capture lock (1156s, held by pid 4955)
· waiting for capture lock (1166s, held by pid 4955)
· waiting for capture lock (1177s, held by pid 4955)
· waiting for capture lock (1188s, held by pid 4955)
· waiting for capture lock (1198s, held by pid 4955)
· waiting for capture lock (1208s, held by pid 4955)
· waiting for capture lock (1218s, held by pid 4955)
· waiting for capture lock (1229s, held by pid 4955)
· waiting for capture lock (1239s, held by pid 4955)
· waiting for capture lock (1250s, held by pid 4955)
· waiting for capture lock (1260s, held by pid 4955)
· waiting for capture lock (1270s, held by pid 4955)
· waiting for capture lock (1281s, held by pid 4955)
· waiting for capture lock (1291s, held by pid 4955)
· waiting for capture lock (1301s, held by pid 4955)
· waiting for capture lock (1312s, held by pid 4955)
· waiting for capture lock (1322s, held by pid 4955)
· waiting for capture lock (1333s, held by pid 4955)
· waiting for capture lock (1343s, held by pid 4955)
· waiting for capture lock (1354s, held by pid 4955)
· waiting for capture lock (1364s, held by pid 4955)
· waiting for capture lock (1375s, held by pid 4955)
· waiting for capture lock (1385s, held by pid 4955)
· waiting for capture lock (1396s, held by pid 4955)
· waiting for capture lock (1406s, held by pid 4955)
· waiting for capture lock (1416s, held by pid 4955)
· waiting for capture lock (1426s, held by pid 4955)
· waiting for capture lock (1437s, held by pid 4955)
· waiting for capture lock (1447s, held by pid 4955)
· waiting for capture lock (1458s, held by pid 4955)
· waiting for capture lock (1469s, held by pid 4955)
· waiting for capture lock (1479s, held by pid 4955)
· waiting for capture lock (1490s, held by pid 4955)
· waiting for capture lock (1501s, held by pid 4955)
· waiting for capture lock (1511s, held by pid 4955)
· waiting for capture lock (1522s, held by pid 4955)
· waiting for capture lock (1533s, held by pid 4955)
· waiting for capture lock (1543s, held by pid 4955)
· waiting for capture lock (1553s, held by pid 4955)
· waiting for capture lock (1563s, held by pid 4955)
· waiting for capture lock (1574s, held by pid 4955)
· waiting for capture lock (1585s, held by pid 4955)
· waiting for capture lock (1596s, held by pid 4955)
· waiting for capture lock (1606s, held by pid 4955)
· waiting for capture lock (1616s, held by pid 4955)
· waiting for capture lock (1627s, held by pid 4955)
· waiting for capture lock (1638s, held by pid 4955)
· waiting for capture lock (1648s, held by pid 4955)
· waiting for capture lock (1659s, held by pid 4955)
· waiting for capture lock (1670s, held by pid 4955)
· waiting for capture lock (1680s, held by pid 4955)
· waiting for capture lock (1690s, held by pid 4955)
· waiting for capture lock (1700s, held by pid 4955)
· waiting for capture lock (1710s, held by pid 4955)
· waiting for capture lock (1721s, held by pid 4955)
· waiting for capture lock (1732s, held by pid 4955)
· waiting for capture lock (1742s, held by pid 4955)
· waiting for capture lock (1752s, held by pid 4955)
· waiting for capture lock (1763s, held by pid 4955)
· waiting for capture lock (1774s, held by pid 4955)
· waiting for capture lock (1784s, held by pid 4955)
· waiting for capture lock (1795s, held by pid 4955)
· waiting for capture lock (1805s, held by pid 4955)
· waiting for capture lock (1816s, held by pid 4955)
· waiting for capture lock (1827s, held by pid 4955)
· waiting for capture lock (1838s, held by pid 4955)
· waiting for capture lock (1848s, held by pid 4955)
· waiting for capture lock (1858s, held by pid 4955)
· waiting for capture lock (1868s, held by pid 4955)
· waiting for capture lock (1879s, held by pid 4955)
· waiting for capture lock (1889s, held by pid 4955)
· waiting for capture lock (1899s, held by pid 4955)
· waiting for capture lock (1909s, held by pid 4955)
· waiting for capture lock (1920s, held by pid 4955)
· waiting for capture lock (1931s, held by pid 4955)
· waiting for capture lock (1941s, held by pid 4955)
· waiting for capture lock (1951s, held by pid 4955)
· waiting for capture lock (1962s, held by pid 4955)
· waiting for capture lock (1972s, held by pid 4955)
· waiting for capture lock (1983s, held by pid 4955)
· waiting for capture lock (1993s, held by pid 4955)
· waiting for capture lock (2003s, held by pid 4955)
· waiting for capture lock (2013s, held by pid 4955)
· waiting for capture lock (2024s, held by pid 4955)
· waiting for capture lock (2035s, held by pid 4955)
· waiting for capture lock (2046s, held by pid 4955)
· waiting for capture lock (2056s, held by pid 4955)
· waiting for capture lock (2067s, held by pid 4955)
· waiting for capture lock (2077s, held by pid 4955)
· waiting for capture lock (2087s, held by pid 4955)
· waiting for capture lock (2098s, held by pid 4955)
· waiting for capture lock (2109s, held by pid 4955)
· waiting for capture lock (2119s, held by pid 4955)
· waiting for capture lock (2130s, held by pid 4955)
· waiting for capture lock (2141s, held by pid 4955)
· waiting for capture lock (2151s, held by pid 4955)
· waiting for capture lock (2162s, held by pid 4955)
· waiting for capture lock (2172s, held by pid 4955)
· waiting for capture lock (2183s, held by pid 4955)
· waiting for capture lock (2194s, held by pid 4955)
· waiting for capture lock (2205s, held by pid 4955)
· waiting for capture lock (2215s, held by pid 4955)
· waiting for capture lock (2225s, held by pid 4955)
· waiting for capture lock (2236s, held by pid 4955)
· waiting for capture lock (2246s, held by pid 4955)
· waiting for capture lock (2257s, held by pid 4955)
· waiting for capture lock (2267s, held by pid 4955)
· waiting for capture lock (2277s, held by pid 4955)
· waiting for capture lock (2288s, held by pid 4955)
· waiting for capture lock (2298s, held by pid 4955)
· waiting for capture lock (2309s, held by pid 4955)
· waiting for capture lock (2320s, held by pid 4955)
· waiting for capture lock (2331s, held by pid 4955)
· waiting for capture lock (2342s, held by pid 4955)
· waiting for capture lock (2353s, held by pid 4955)
· waiting for capture lock (2363s, held by pid 4955)
· waiting for capture lock (2373s, held by pid 4955)
· waiting for capture lock (2384s, held by pid 4955)
· waiting for capture lock (2395s, held by pid 4955)
· waiting for capture lock (2406s, held by pid 4955)
· waiting for capture lock (2416s, held by pid 4955)
· waiting for capture lock (2426s, held by pid 4955)
· waiting for capture lock (2437s, held by pid 4955)
· waiting for capture lock (2447s, held by pid 4955)
· waiting for capture lock (2458s, held by pid 4955)
· waiting for capture lock (2469s, held by pid 4955)
· waiting for capture lock (2479s, held by pid 4955)
· waiting for capture lock (2490s, held by pid 4955)
· waiting for capture lock (2501s, held by pid 4955)
· waiting for capture lock (2512s, held by pid 4955)
· waiting for capture lock (2522s, held by pid 4955)
· waiting for capture lock (2533s, held by pid 4955)
· waiting for capture lock (2544s, held by pid 4955)
· waiting for capture lock (2554s, held by pid 4955)
· waiting for capture lock (2564s, held by pid 4955)
· waiting for capture lock (2575s, held by pid 4955)
· waiting for capture lock (2586s, held by pid 4955)
· waiting for capture lock (2596s, held by pid 4955)
· waiting for capture lock (2607s, held by pid 4955)
· waiting for capture lock (2618s, held by pid 4955)
· waiting for capture lock (2629s, held by pid 4955)
· waiting for capture lock (2639s, held by pid 4955)
· waiting for capture lock (2650s, held by pid 4955)
· waiting for capture lock (2660s, held by pid 4955)
· waiting for capture lock (2671s, held by pid 4955)
· waiting for capture lock (2682s, held by pid 4955)
· waiting for capture lock (2692s, held by pid 4955)
· waiting for capture lock (2703s, held by pid 4955)
· waiting for capture lock (2714s, held by pid 4955)
· waiting for capture lock (2725s, held by pid 4955)
· waiting for capture lock (2735s, held by pid 4955)
· waiting for capture lock (2746s, held by pid 4955)
· waiting for capture lock (2756s, held by pid 4955)
· waiting for capture lock (2767s, held by pid 4955)
· waiting for capture lock (2778s, held by pid 4955)
· waiting for capture lock (2788s, held by pid 4955)
· waiting for capture lock (2799s, held by pid 4955)
· waiting for capture lock (2810s, held by pid 4955)
· waiting for capture lock (2821s, held by pid 4955)
· waiting for capture lock (2831s, held by pid 4955)
· waiting for capture lock (2841s, held by pid 4955)
· waiting for capture lock (2852s, held by pid 4955)
· waiting for capture lock (2862s, held by pid 4955)
· waiting for capture lock (2873s, held by pid 4955)
· waiting for capture lock (2884s, held by pid 4955)
· waiting for capture lock (2895s, held by pid 4955)
· waiting for capture lock (2905s, held by pid 4955)
· waiting for capture lock (2915s, held by pid 4955)
· waiting for capture lock (2926s, held by pid 4955)
· waiting for capture lock (2937s, held by pid 4955)
· waiting for capture lock (2947s, held by pid 4955)
· waiting for capture lock (2958s, held by pid 4955)
· waiting for capture lock (2969s, held by pid 4955)
· waiting for capture lock (2980s, held by pid 4955)
· waiting for capture lock (2991s, held by pid 4955)
· waiting for capture lock (3002s, held by pid 4955)
· waiting for capture lock (3012s, held by pid 4955)
· waiting for capture lock (3022s, held by pid 4955)
· waiting for capture lock (3032s, held by pid 4955)
· waiting for capture lock (3043s, held by pid 4955)
· waiting for capture lock (3054s, held by pid 4955)
· waiting for capture lock (3064s, held by pid 4955)
· waiting for capture lock (3074s, held by pid 4955)
· waiting for capture lock (3085s, held by pid 4955)
· waiting for capture lock (3096s, held by pid 4955)
· waiting for capture lock (3107s, held by pid 4955)
· waiting for capture lock (3118s, held by pid 4955)
· waiting for capture lock (3128s, held by pid 4955)
· waiting for capture lock (3138s, held by pid 4955)
· waiting for capture lock (3149s, held by pid 4955)
· waiting for capture lock (3159s, held by pid 4955)
· waiting for capture lock (3169s, held by pid 4955)
· waiting for capture lock (3180s, held by pid 4955)
· waiting for capture lock (3190s, held by pid 4955)
· waiting for capture lock (3201s, held by pid 4955)
· waiting for capture lock (3211s, held by pid 4955)
· waiting for capture lock (3222s, held by pid 4955)
· waiting for capture lock (3233s, held by pid 4955)
· waiting for capture lock (3243s, held by pid 4955)
· waiting for capture lock (3253s, held by pid 4955)
· waiting for capture lock (3264s, held by pid 4955)
· waiting for capture lock (3275s, held by pid 4955)
· waiting for capture lock (3285s, held by pid 4955)
· waiting for capture lock (3295s, held by pid 4955)
· waiting for capture lock (3306s, held by pid 4955)
· waiting for capture lock (3316s, held by pid 4955)
· waiting for capture lock (3327s, held by pid 4955)
· waiting for capture lock (3338s, held by pid 4955)
· waiting for capture lock (3349s, held by pid 4955)
· waiting for capture lock (3359s, held by pid 4955)
· waiting for capture lock (3369s, held by pid 4955)
· waiting for capture lock (3380s, held by pid 4955)
· waiting for capture lock (3392s, held by pid 4955)
· waiting for capture lock (3402s, held by pid 4955)
· waiting for capture lock (3413s, held by pid 4955)
· waiting for capture lock (3423s, held by pid 4955)
· waiting for capture lock (3434s, held by pid 4955)
· waiting for capture lock (3445s, held by pid 4955)
· waiting for capture lock (3455s, held by pid 4955)
· waiting for capture lock (3466s, held by pid 4955)
· waiting for capture lock (3477s, held by pid 4955)
· waiting for capture lock (3487s, held by pid 4955)
· waiting for capture lock (3497s, held by pid 4955)
· waiting for capture lock (3507s, held by pid 4955)
· waiting for capture lock (3518s, held by pid 4955)
· waiting for capture lock (3528s, held by pid 4955)
· waiting for capture lock (3538s, held by pid 4955)
· waiting for capture lock (3549s, held by pid 4955)
· waiting for capture lock (3559s, held by pid 4955)
· waiting for capture lock (3570s, held by pid 4955)
· waiting for capture lock (3581s, held by pid 4955)
· waiting for capture lock (3591s, held by pid 4955)
· waiting for capture lock (3601s, held by pid 4955)
· waiting for capture lock (3612s, held by pid 4955)
· waiting for capture lock (3623s, held by pid 4955)
· waiting for capture lock (3634s, held by pid 4955)
· waiting for capture lock (3644s, held by pid 4955)
· waiting for capture lock (3656s, held by pid 4955)
· waiting for capture lock (3666s, held by pid 4955)
· waiting for capture lock (3677s, held by pid 4955)
· waiting for capture lock (3687s, held by pid 4955)
· waiting for capture lock (3697s, held by pid 4955)
· waiting for capture lock (3707s, held by pid 4955)
· waiting for capture lock (3718s, held by pid 4955)
· waiting for capture lock (3729s, held by pid 4955)
· waiting for capture lock (3739s, held by pid 4955)
· waiting for capture lock (3750s, held by pid 4955)
· waiting for capture lock (3760s, held by pid 4955)
· waiting for capture lock (3770s, held by pid 4955)
· waiting for capture lock (3781s, held by pid 4955)
· waiting for capture lock (3791s, held by pid 4955)
· waiting for capture lock (3801s, held by pid 4955)
· waiting for capture lock (3812s, held by pid 4955)
· waiting for capture lock (3822s, held by pid 4955)
· waiting for capture lock (3833s, held by pid 4955)
· waiting for capture lock (3843s, held by pid 4955)
· waiting for capture lock (3853s, held by pid 4955)
· waiting for capture lock (3864s, held by pid 4955)
· waiting for capture lock (3875s, held by pid 4955)
· waiting for capture lock (3885s, held by pid 4955)
· waiting for capture lock (3895s, held by pid 4955)
· waiting for capture lock (3906s, held by pid 4955)
· waiting for capture lock (3916s, held by pid 4955)
· waiting for capture lock (3927s, held by pid 4955)
· waiting for capture lock (3937s, held by pid 4955)
· waiting for capture lock (3948s, held by pid 4955)
· waiting for capture lock (3958s, held by pid 4955)
· waiting for capture lock (3969s, held by pid 4955)
· waiting for capture lock (3979s, held by pid 4955)
· waiting for capture lock (3990s, held by pid 4955)
· waiting for capture lock (4000s, held by pid 4955)
· waiting for capture lock (4011s, held by pid 4955)
· waiting for capture lock (4022s, held by pid 4955)
· waiting for capture lock (4033s, held by pid 4955)
· waiting for capture lock (4044s, held by pid 4955)
· waiting for capture lock (4054s, held by pid 4955)
· waiting for capture lock (4065s, held by pid 4955)
· waiting for capture lock (4075s, held by pid 4955)
· waiting for capture lock (4086s, held by pid 4955)
· waiting for capture lock (4096s, held by pid 4955)
· waiting for capture lock (4107s, held by pid 4955)
· waiting for capture lock (4117s, held by pid 4955)
· waiting for capture lock (4128s, held by pid 4955)
· waiting for capture lock (4138s, held by pid 4955)
· waiting for capture lock (4149s, held by pid 4955)
· waiting for capture lock (4160s, held by pid 4955)
· waiting for capture lock (4171s, held by pid 4955)
· starting dev server on :5300
· loading game
· ready
· renderer: ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)
· modules present (17): shading postfx sky lighting textures architecture props terrain collision character animation movement camera fx guards hud audio
· 1 boot warning(s):
    ! textures: prewarm took 17.0s at size 1024
  ✓ sly-closeup   173103ms  draws  255  tris 1651k
  ✓ sly-perch     187100ms  draws  255  tris 1652k
  ✓ hero          196525ms  draws  250  tris 1728k
· 1 console error(s):
    ! Failed to load resource: the server responded with a status of 404 (Not Found)
  · page closed

→ shots/char13/  (3 shots, 0 failed)
